,asset_value
32400,10000000
32460,10000000
32520,10000000
32580,10000000
32640,10000000
32700,10000000
32760,10000000
32820,10000000
32880,10000000
32940,10000000
33000,10000000
33060,10000000
33120,10000000
33180,10000000
33240,10000000
33300,10000000
33360,10000000
33420,10000000
33480,10000000
33540,10000000
33600,10000000
33660,10000000
33720,10000000
33780,10000000
33840,10000000
33900,10000000
33960,10000000
34020,10000000
34080,10000000
34140,10000000
34200,10000000
34260,10000000
34320,10000000
34380,10000000
34440,10000000
34500,10000000
34560,10000000
34620,10000000
34680,10000000
34740,10000000
34800,10000000
34860,10000000
34920,10000000
34980,10000000
35040,10000000
35100,10000000
35160,10000000
35220,10000000
35280,10000000
35340,10000000
35400,10000000
35460,10000000
35520,10000000
35580,10000000
35640,10000000
35700,10000000
35760,10000000
35820,10000000
35880,10000000
35940,10000000
36000,10000000
36060,10000000
36120,10000000
36180,10000000
36240,10000000
36300,10000000
36360,10000000
36420,10000000
36480,10000000
36540,10000000
36600,10000000
36660,10000000
36720,10000000
36780,10000000
36840,10000000
37800,10000000
37860,10000000
37920,10000000
37980,10000000
38040,10000000
38100,10000000
38160,10000000
38220,10000000
38280,10000000
38340,10000000
38400,10000000
38460,10000000
38520,10000000
38580,10000000
38640,10000000
38700,10000000
38760,10000000
38820,10000000
38880,10000000
38940,10000000
39000,10000000
39060,10000000
39120,10000000
39180,10000000
39240,10000000
39300,10000000
39360,10000000
39420,10000000
39480,10000000
39540,10000000
39600,10000000
39660,10000000
39720,10000000
39780,10000000
39840,10000000
39900,10000000
39960,10000000
40020,10000000
40080,10000000
40140,10000000
40200,10000000
40260,10000000
40320,10000000
40380,10000000
40440,10000000
40500,10000000
40560,10000000
40620,10000000
40680,10000000
40740,10000000
40800,10000000
40860,10000000
40920,10000000
40980,10000000
41040,10000000
41100,10000000
41160,10000000
41220,10000000
41280,10000000
41340,10000000
48600,10000000
48660,10000000
48720,10000000
48780,10000000
48840,10000000
48900,10000000
48960,10000000
49020,10000000
49080,10000000
49140,10000000
49200,10000000
49260,10000000
49320,10000000
49380,10000000
49440,10000000
49500,10000000
49560,10000000
49620,10000000
49680,10000000
49740,10000000
49800,10000000
49860,10000000
49920,10000000
49980,10000000
50040,10000000
50100,10000000
50160,10000000
50220,10000000
50280,10000000
50340,10000000
50400,10000000
50460,10000000
50520,10000000
50580,10000000
50640,10000000
50700,10000000
50760,10000000
50820,10000000
50880,10000000
50940,10000000
51000,10000000
51060,10000000
51120,10000000
51180,10000000
51240,10000000
51300,10000000
51360,10000000
51420,10000000
51480,10000000
51540,10000000
51600,10000000
51660,10000000
51720,10000000
51780,10000000
51840,10000000
51900,10000000
51960,10000000
52020,10000000
52080,10000000
52140,10000000
52200,10000000
52260,10000000
52320,10000000
52380,10000000
52440,10000000
52500,10000000
52560,10000000
52620,10000000
52680,10000000
52740,10000000
52800,10000000
52860,10000000
52920,10000000
52980,10000000
53040,10000000
53100,10000000
53160,10000000
53220,10000000
53280,10000000
53340,10000000
53400,10000000
53460,10000000
53520,10000000
53580,10000000
53640,10000000
53700,10000000
53760,10000000
53820,10000000
53880,10000000
53940,10000000
