,Momt5,rwR5,ABV_Diff
32400,,,-783.0
32460,,,1627.0
32520,,,3440.0
32580,,,-24892.0
32640,,-0.38461538461538464,-12737.0
32700,-0.004672897196261682,-0.5789473684210527,-1423.0
32760,-0.01048951048951049,-0.75,-962.0
32820,-0.004084014002333722,-0.11764705882352941,-3341.0
32880,0.0,-0.11764705882352941,-2526.0
32940,-0.0023405500292568754,0.29411764705882354,-3183.0
33000,0.0005868544600938967,0.29411764705882354,11713.0
33060,0.004122497055359246,0.2,17953.0
33120,-0.0005858230814294083,-0.375,-1080.0
33180,-0.0017574692442882249,-0.3333333333333333,22026.0
33240,-0.0011730205278592375,-0.5,-7760.0
33300,-0.002932551319648094,-0.4444444444444444,-1596.0
33360,-0.0017595307917888563,-0.5555555555555556,-1015.0
33420,-0.0017584994138335288,-0.3333333333333333,-8622.0
33480,0.0011737089201877935,0.2222222222222222,-1578.0
33540,0.002348796241926013,0.3,20354.0
33600,0.004705882352941176,0.7142857142857143,6620.0
33660,0.002937720329024677,0.5,-3153.0
33720,0.002935995302407516,0.75,19364.0
33780,0.0005861664712778429,0.25,-8886.0
33840,-0.0005858230814294083,-0.5,17272.0
33900,-0.001756440281030445,-0.6,3095.0
33960,-0.0017574692442882249,-0.5,14084.0
34020,-0.002927400468384075,-0.8571428571428571,1952.0
34080,-0.0023432923257176333,-0.6,13838.0
34140,-0.0017584994138335288,-0.8,17940.0
34200,-0.002932551319648094,-0.5555555555555556,-50607.0
34260,-0.004107981220657277,-0.75,189.0
34320,0.0005871990604815032,0.0,-43405.0
34380,0.0005871990604815032,0.1111111111111111,-11071.0
34440,0.0005871990604815032,0.4444444444444444,-17790.0
34500,0.0029411764705882353,0.7777777777777778,-10183.0
34560,0.0011785503830288745,-0.7142857142857143,-8277.0
34620,-0.0017605633802816902,-0.2857142857142857,-26895.0
34680,-0.002347417840375587,-0.7142857142857143,-6473.0
34740,-0.0011737089201877935,0.0,9173.0
34800,-0.002346041055718475,-0.2,2682.0
34860,0.0,-0.4,-6282.0
34920,-0.0029394473838918285,-0.5555555555555556,-4225.0
34980,-0.00411764705882353,-0.7,-4655.0
35040,-0.002937720329024677,-0.5555555555555556,-776.0
35100,-0.0029394473838918285,-0.5,11797.0
35160,-0.0011771630370806356,0.0,-19417.0
35220,0.0005896226415094339,0.3333333333333333,17841.0
35280,0.0011813349084465446,-0.2,-7517.0
35340,-0.0011785503830288745,-0.2,-2032.0
35400,-0.001768867924528302,-0.6666666666666666,-285.0
