,Date,Time,Open,High,Low,Close,Volume,Amount,ABV_Diff,ZT
32400,2020-07-20,09:00:00,2742.0,2748.0,2730.0,2732.0,8619.0,236040720.06700003,5110.0,-2.459457318602815e-05
32460,2020-07-20,09:01:00,2742.0,2748.0,2740.0,2746.0,4398.0,120718900.11199999,-3735.0,6.06721946347181e-06
32520,2020-07-20,09:02:00,2746.0,2748.0,2736.0,2738.0,4260.0,116736039.715,10261.0,-3.6647276469429595e-05
32580,2020-07-20,09:03:00,2740.0,2740.0,2734.0,2740.0,3598.0,98523399.954,3042.0,2.7389481747534342e-05
32640,2020-07-20,09:04:00,2736.0,2740.0,2730.0,2734.0,3452.0,94368299.986,-6332.0,-3.362594602580593e-05
32700,2020-07-20,09:05:00,2726.0,2732.0,2726.0,2730.0,6743.0,183920999.97,9179.0,-9.169156687153605e-05
32760,2020-07-20,09:06:00,2728.0,2734.0,2722.0,2726.0,7865.0,214573639.64999998,2006.0,-4.89374985866912e-05
32820,2020-07-20,09:07:00,2734.0,2740.0,2730.0,2736.0,3738.0,102231160.22300002,22298.0,-1.8377280535789945e-05
32880,2020-07-20,09:08:00,2736.0,2740.0,2734.0,2736.0,2586.0,70780520.089,-3100.0,1.8274856244904215e-05
32940,2020-07-20,09:09:00,2734.0,2742.0,2734.0,2740.0,5063.0,138614079.893,16715.0,4.249233843818256e-05
33000,2020-07-20,09:10:00,2738.0,2742.0,2736.0,2742.0,4145.0,113547840.063,5203.0,-6.082283770905879e-05
33060,2020-07-20,09:11:00,2738.0,2742.0,2736.0,2740.0,2551.0,69872879.856,12887.0,-3.963822929912523e-05
33120,2020-07-20,09:12:00,2740.0,2742.0,2738.0,2738.0,2619.0,71746800.079,-2031.0,-3.10887337904932e-06
33180,2020-07-20,09:13:00,2740.0,2742.0,2736.0,2740.0,2070.0,56705839.885,433.0,-9.162425515940598e-06
33240,2020-07-20,09:14:00,2742.0,2744.0,2738.0,2742.0,2415.0,66205759.806,-9174.0,-1.2192080645837914e-05
33300,2020-07-20,09:15:00,2736.0,2740.0,2732.0,2734.0,3778.0,103349619.90900001,4636.0,-0.00015842444057291664
33360,2020-07-20,09:16:00,2740.0,2740.0,2736.0,2738.0,738.0,20199640.009999998,10136.0,-3.103201169160771e-05
33420,2020-07-20,09:17:00,2738.0,2742.0,2736.0,2738.0,1663.0,45545279.977,13335.0,5.2125916584534203e-05
33480,2020-07-20,09:18:00,2742.0,2742.0,2738.0,2740.0,505.0,13834620.022,8559.0,-5.6717292014032874e-05
33540,2020-07-20,09:19:00,2738.0,2744.0,2738.0,2740.0,1443.0,39550420.028,32656.0,-0.00017275893992316612
33600,2020-07-20,09:20:00,2742.0,2750.0,2740.0,2744.0,4743.0,130222260.14699998,-3393.0,-4.874917576322228e-05
33660,2020-07-20,09:21:00,2748.0,2748.0,2744.0,2746.0,1439.0,39509460.025,5807.0,6.03848258230825e-06
33720,2020-07-20,09:22:00,2744.0,2752.0,2744.0,2750.0,3588.0,98637100.226,14046.0,3.3244473793573685e-05
33780,2020-07-20,09:23:00,2748.0,2750.0,2746.0,2750.0,1151.0,31629840.091000002,12281.0,-3.0318462653015447e-05
33840,2020-07-20,09:24:00,2746.0,2750.0,2744.0,2746.0,1544.0,42417660.046000004,11422.0,-8.49809415928308e-05
33900,2020-07-20,09:25:00,2748.0,2750.0,2744.0,2746.0,747.0,20519440.009999998,-12525.0,2.9995209257719674e-06
33960,2020-07-20,09:26:00,2746.0,2746.0,2744.0,2744.0,296.0,8123680.011,-11796.0,-0.00016509057282537376
34020,2020-07-20,09:27:00,2744.0,2746.0,2742.0,2744.0,1073.0,29443999.987999998,14710.0,-9.884799291053423e-05
34080,2020-07-20,09:28:00,2744.0,2750.0,2744.0,2746.0,1158.0,31817240.015,22981.0,-3.372310702169307e-05
34140,2020-07-20,09:29:00,2748.0,2750.0,2746.0,2748.0,1222.0,33581459.997999996,63126.0,-0.00010308320974407407
34200,2020-07-20,09:30:00,2748.0,2748.0,2742.0,2746.0,1494.0,41012939.982,-21390.0,-8.202419882276472e-05
34260,2020-07-20,09:31:00,2744.0,2750.0,2742.0,2748.0,2446.0,67187899.893,58670.0,-4.861737602626093e-05
34320,2020-07-20,09:32:00,2746.0,2750.0,2744.0,2748.0,2026.0,55661520.00399999,71501.0,-6.115870962379903e-05
34380,2020-07-20,09:33:00,2748.0,2748.0,2744.0,2746.0,699.0,19193960.107,18.0,-8.945012519075608e-05
34440,2020-07-20,09:34:00,2746.0,2746.0,2744.0,2746.0,513.0,14083820.003999999,-38598.0,-0.00012148530571202112
34500,2020-07-20,09:35:00,2746.0,2746.0,2742.0,2744.0,2248.0,61690479.930999994,-13065.0,2.4681336259657627e-05
34560,2020-07-20,09:36:00,2746.0,2746.0,2742.0,2746.0,1619.0,44441839.957,11516.0,-0.00018374135815593987
34620,2020-07-20,09:37:00,2746.0,2748.0,2744.0,2746.0,557.0,15294300.027,9295.0,-0.0002058981891128529
34680,2020-07-20,09:38:00,2746.0,2746.0,2742.0,2744.0,1314.0,36052959.953,-14337.0,-6.237999472189258e-05
34740,2020-07-20,09:39:00,2744.0,2746.0,2742.0,2744.0,530.0,14543099.996,-9247.0,-0.00015082673482813176
34800,2020-07-20,09:40:00,2744.0,2746.0,2742.0,2744.0,657.0,18024699.990000002,-4687.0,-0.0002397124780753526
34860,2020-07-20,09:41:00,2744.0,2746.0,2740.0,2744.0,1122.0,30774459.978,5882.0,-0.00014515520784229603
34920,2020-07-20,09:42:00,2742.0,2746.0,2742.0,2744.0,879.0,24114859.987999998,9165.0,-0.00018219677515111745
34980,2020-07-20,09:43:00,2742.0,2746.0,2742.0,2744.0,660.0,18108959.998,-15145.0,-6.662520591215048e-05
35040,2020-07-20,09:44:00,2746.0,2750.0,2744.0,2746.0,1621.0,44547099.945,64675.0,4.6634194873467604e-05
35100,2020-07-20,09:45:00,2750.0,2750.0,2744.0,2746.0,1591.0,43705339.986,-9138.0,-3.9807886764108e-05
35160,2020-07-20,09:46:00,2748.0,2750.0,2746.0,2748.0,2151.0,59112599.93000001,82958.0,-0.00012235571536289847
35220,2020-07-20,09:47:00,2748.0,2752.0,2748.0,2750.0,3532.0,97131440.59099999,22119.0,-7.147671694976218e-05
35280,2020-07-20,09:48:00,2750.0,2750.0,2746.0,2748.0,1476.0,40559480.002000004,13273.0,-0.00010706144413214916
35340,2020-07-20,09:49:00,2748.0,2752.0,2746.0,2750.0,985.0,27081860.0,23211.0,-0.00013799946847298047
